T,R0,mosquito
0,0.000197474,Aeae
1.010526316,-5.05263E-06,Aeae
2.021052632,-7.57895E-06,Aeae
2.947368421,-9.89474E-06,Aeae
4.042105263,8.73684E-05,Aeae
4.968421053,8.50526E-05,Aeae
5.978947368,0.000282526,Aeae
6.989473684,0.00068,Aeae
8,0.001177474,Aeae
9.010526316,0.001774947,Aeae
10.02105263,0.002472421,Aeae
11.03157895,0.003169895,Aeae
11.87368421,0.003667789,Aeae
12.88421053,0.004465263,Aeae
13.81052632,0.005262947,Aeae
14.90526316,0.006160211,Aeae
16,0.007257474,Aeae
16.84210526,0.008155368,Aeae
17.76842105,0.009253053,Aeae
18.86315789,0.010650316,Aeae
19.70526316,0.011848211,Aeae
20.8,0.013545474,Aeae
21.47368421,0.014743789,Aeae
21.97894737,0.015542526,Aeae
22.06315789,0.016242316,Aeae
22.48421053,0.017141263,Aeae
23.07368421,0.018239789,Aeae
23.57894737,0.019338526,Aeae
24.08421053,0.020337263,Aeae
24.58947368,0.021436,Aeae
25.01052632,0.022434947,Aeae
25.51578947,0.023533684,Aeae
25.93684211,0.024432632,Aeae
26.27368421,0.025331789,Aeae
26.61052632,0.026030947,Aeae
27.11578947,0.027329684,Aeae
27.62105263,0.028428421,Aeae
28.12631579,0.029927158,Aeae
28.54736842,0.030926105,Aeae
29.13684211,0.032524632,Aeae
29.64210526,0.033923368,Aeae
30.14736842,0.035222105,Aeae
30.65263158,0.036620842,Aeae
31.15789474,0.038019579,Aeae
31.66315789,0.039418316,Aeae
32.25263158,0.041016842,Aeae
32.75789474,0.042615579,Aeae
33.17894737,0.043714526,Aeae
33.6,0.044913474,Aeae
33.93684211,0.045812632,Aeae
34.44210526,0.046911368,Aeae
34.77894737,0.047610526,Aeae
35.2,0.048309474,Aeae
35.70526316,0.048608211,Aeae
36.12631579,0.048107158,Aeae
36.37894737,0.047306526,Aeae
36.54736842,0.046206105,Aeae
36.71578947,0.045305684,Aeae
36.88421053,0.043705263,Aeae
37.05263158,0.042004842,Aeae
37.13684211,0.040004632,Aeae
37.38947368,0.038704,Aeae
37.47368421,0.037303789,Aeae
37.47368421,0.035603789,Aeae
37.64210526,0.033503368,Aeae
37.81052632,0.031302947,Aeae
37.97894737,0.028802526,Aeae
38.06315789,0.026802316,Aeae
38.14736842,0.025002105,Aeae
38.23157895,0.023401895,Aeae
38.4,0.022001474,Aeae
38.48421053,0.020301263,Aeae
38.56842105,0.017801053,Aeae
38.82105263,0.014900421,Aeae
39.07368421,0.011999789,Aeae
39.24210526,0.010499368,Aeae
39.41052632,0.008998947,Aeae
39.66315789,0.007698316,Aeae
39.91578947,0.006597684,Aeae
40.16842105,0.005597053,Aeae
40.58947368,0.004896,Aeae
6.989473684,-2E-05,Aealbo
8.084210526,-2.27368E-05,Aealbo
9.010526316,-2.50526E-05,Aealbo
10.27368421,7.17895E-05,Aealbo
11.45263158,0.000268842,Aealbo
12.46315789,0.000366316,Aealbo
13.55789474,0.000763579,Aealbo
14.48421053,0.000961263,Aealbo
15.57894737,0.001258526,Aealbo
16.42105263,0.001356421,Aealbo
17.6,0.001953474,Aealbo
18.44210526,0.002251368,Aealbo
19.53684211,0.002948632,Aealbo
20.29473684,0.003346737,Aealbo
21.30526316,0.004044211,Aealbo
21.97894737,0.004542526,Aealbo
22.98947368,0.00544,Aealbo
23.91578947,0.006137684,Aealbo
24.75789474,0.006935579,Aealbo
25.43157895,0.007633895,Aealbo
26.35789474,0.008331579,Aealbo
27.2,0.008729474,Aealbo
28.21052632,0.009126947,Aealbo
29.13684211,0.009324632,Aealbo
30.14736842,0.008822105,Aealbo
30.82105263,0.007920421,Aealbo
31.41052632,0.006718947,Aealbo
31.74736842,0.005718105,Aealbo
32.33684211,0.004416632,Aealbo
32.67368421,0.003415789,Aealbo
33.26315789,0.002314316,Aealbo
33.85263158,0.001412842,Aealbo
34.77894737,0.000610526,Aealbo
35.70526316,0.000308211,Aealbo
36.8,0.000205474,Aealbo
37.72631579,0.000103158,Aealbo
38.82105263,0.000100421,Aealbo
40,9.74737E-05,Aealbo
