Weeks,Date
2013EW44,10/27/13
2013EW44,10/28/13
2013EW44,10/29/13
2013EW44,10/30/13
2013EW44,10/31/13
2013EW44,11/1/13
2013EW44,11/2/13
2013EW45,11/3/13
2013EW45,11/4/13
2013EW45,11/5/13
2013EW45,11/6/13
2013EW45,11/7/13
2013EW45,11/8/13
2013EW45,11/9/13
2013EW46,11/10/13
2013EW46,11/11/13
2013EW46,11/12/13
2013EW46,11/13/13
2013EW46,11/14/13
2013EW46,11/15/13
2013EW46,11/16/13
2013EW47,11/17/13
2013EW47,11/18/13
2013EW47,11/19/13
2013EW47,11/20/13
2013EW47,11/21/13
2013EW47,11/22/13
2013EW47,11/23/13
2013EW48,11/24/13
2013EW48,11/25/13
2013EW48,11/26/13
2013EW48,11/27/13
2013EW48,11/28/13
2013EW48,11/29/13
2013EW48,11/30/13
2013EW49,12/1/13
2013EW49,12/2/13
2013EW49,12/3/13
2013EW49,12/4/13
2013EW49,12/5/13
2013EW49,12/6/13
2013EW49,12/7/13
2013EW50,12/8/13
2013EW50,12/9/13
2013EW50,12/10/13
2013EW50,12/11/13
2013EW50,12/12/13
2013EW50,12/13/13
2013EW50,12/14/13
2013EW51,12/15/13
2013EW51,12/16/13
2013EW51,12/17/13
2013EW51,12/18/13
2013EW51,12/19/13
2013EW51,12/20/13
2013EW51,12/21/13
2013EW52,12/22/13
2013EW52,12/23/13
2013EW52,12/24/13
2013EW52,12/25/13
2013EW52,12/26/13
2013EW52,12/27/13
2013EW52,12/28/13
2014EW01,12/29/13
2014EW01,12/30/13
2014EW01,12/31/13
2014EW01,1/1/14
2014EW01,1/2/14
2014EW01,1/3/14
2014EW01,1/4/14
2014EW02,1/5/14
2014EW02,1/6/14
2014EW02,1/7/14
2014EW02,1/8/14
2014EW02,1/9/14
2014EW02,1/10/14
2014EW02,1/11/14
2014EW03,1/12/14
2014EW03,1/13/14
2014EW03,1/14/14
2014EW03,1/15/14
2014EW03,1/16/14
2014EW03,1/17/14
2014EW03,1/18/14
2014EW04,1/19/14
2014EW04,1/20/14
2014EW04,1/21/14
2014EW04,1/22/14
2014EW04,1/23/14
2014EW04,1/24/14
2014EW04,1/25/14
2014EW05,1/26/14
2014EW05,1/27/14
2014EW05,1/28/14
2014EW05,1/29/14
2014EW05,1/30/14
2014EW05,1/31/14
2014EW05,2/1/14
2014EW06,2/2/14
2014EW06,2/3/14
2014EW06,2/4/14
2014EW06,2/5/14
2014EW06,2/6/14
2014EW06,2/7/14
2014EW06,2/8/14
2014EW07,2/9/14
2014EW07,2/10/14
2014EW07,2/11/14
2014EW07,2/12/14
2014EW07,2/13/14
2014EW07,2/14/14
2014EW07,2/15/14
2014EW08,2/16/14
2014EW08,2/17/14
2014EW08,2/18/14
2014EW08,2/19/14
2014EW08,2/20/14
2014EW08,2/21/14
2014EW08,2/22/14
2014EW09,2/23/14
2014EW09,2/24/14
2014EW09,2/25/14
2014EW09,2/26/14
2014EW09,2/27/14
2014EW09,2/28/14
2014EW09,3/1/14
2014EW10,3/2/14
2014EW10,3/3/14
2014EW10,3/4/14
2014EW10,3/5/14
2014EW10,3/6/14
2014EW10,3/7/14
2014EW10,3/8/14
2014EW11,3/9/14
2014EW11,3/10/14
2014EW11,3/11/14
2014EW11,3/12/14
2014EW11,3/13/14
2014EW11,3/14/14
2014EW11,3/15/14
2014EW12,3/16/14
2014EW12,3/17/14
2014EW12,3/18/14
2014EW12,3/19/14
2014EW12,3/20/14
2014EW12,3/21/14
2014EW12,3/22/14
2014EW13,3/23/14
2014EW13,3/24/14
2014EW13,3/25/14
2014EW13,3/26/14
2014EW13,3/27/14
2014EW13,3/28/14
2014EW13,3/29/14
2014EW14,3/30/14
2014EW14,3/31/14
2014EW14,4/1/14
2014EW14,4/2/14
2014EW14,4/3/14
2014EW14,4/4/14
2014EW14,4/5/14
2014EW15,4/6/14
2014EW15,4/7/14
2014EW15,4/8/14
2014EW15,4/9/14
2014EW15,4/10/14
2014EW15,4/11/14
2014EW15,4/12/14
2014EW16,4/13/14
2014EW16,4/14/14
2014EW16,4/15/14
2014EW16,4/16/14
2014EW16,4/17/14
2014EW16,4/18/14
2014EW16,4/19/14
2014EW17,4/20/14
2014EW17,4/21/14
2014EW17,4/22/14
2014EW17,4/23/14
2014EW17,4/24/14
2014EW17,4/25/14
2014EW17,4/26/14
2014EW18,4/27/14
2014EW18,4/28/14
2014EW18,4/29/14
2014EW18,4/30/14
2014EW18,5/1/14
2014EW18,5/2/14
2014EW18,5/3/14
2014EW19,5/4/14
2014EW19,5/5/14
2014EW19,5/6/14
2014EW19,5/7/14
2014EW19,5/8/14
2014EW19,5/9/14
2014EW19,5/10/14
2014EW20,5/11/14
2014EW20,5/12/14
2014EW20,5/13/14
2014EW20,5/14/14
2014EW20,5/15/14
2014EW20,5/16/14
2014EW20,5/17/14
2014EW21,5/18/14
2014EW21,5/19/14
2014EW21,5/20/14
2014EW21,5/21/14
2014EW21,5/22/14
2014EW21,5/23/14
2014EW21,5/24/14
2014EW22,5/25/14
2014EW22,5/26/14
2014EW22,5/27/14
2014EW22,5/28/14
2014EW22,5/29/14
2014EW22,5/30/14
2014EW22,5/31/14
2014EW23,6/1/14
2014EW23,6/2/14
2014EW23,6/3/14
2014EW23,6/4/14
2014EW23,6/5/14
2014EW23,6/6/14
2014EW23,6/7/14
2014EW24,6/8/14
2014EW24,6/9/14
2014EW24,6/10/14
2014EW24,6/11/14
2014EW24,6/12/14
2014EW24,6/13/14
2014EW24,6/14/14
2014EW25,6/15/14
2014EW25,6/16/14
2014EW25,6/17/14
2014EW25,6/18/14
2014EW25,6/19/14
2014EW25,6/20/14
2014EW25,6/21/14
2014EW26,6/22/14
2014EW26,6/23/14
2014EW26,6/24/14
2014EW26,6/25/14
2014EW26,6/26/14
2014EW26,6/27/14
2014EW26,6/28/14
2014EW27,6/29/14
2014EW27,6/30/14
2014EW27,7/1/14
2014EW27,7/2/14
2014EW27,7/3/14
2014EW27,7/4/14
2014EW27,7/5/14
2014EW28,7/6/14
2014EW28,7/7/14
2014EW28,7/8/14
2014EW28,7/9/14
2014EW28,7/10/14
2014EW28,7/11/14
2014EW28,7/12/14
2014EW29,7/13/14
2014EW29,7/14/14
2014EW29,7/15/14
2014EW29,7/16/14
2014EW29,7/17/14
2014EW29,7/18/14
2014EW29,7/19/14
2014EW30,7/20/14
2014EW30,7/21/14
2014EW30,7/22/14
2014EW30,7/23/14
2014EW30,7/24/14
2014EW30,7/25/14
2014EW30,7/26/14
2014EW31,7/27/14
2014EW31,7/28/14
2014EW31,7/29/14
2014EW31,7/30/14
2014EW31,7/31/14
2014EW31,8/1/14
2014EW31,8/2/14
2014EW32,8/3/14
2014EW32,8/4/14
2014EW32,8/5/14
2014EW32,8/6/14
2014EW32,8/7/14
2014EW32,8/8/14
2014EW32,8/9/14
2014EW33,8/10/14
2014EW33,8/11/14
2014EW33,8/12/14
2014EW33,8/13/14
2014EW33,8/14/14
2014EW33,8/15/14
2014EW33,8/16/14
2014EW34,8/17/14
2014EW34,8/18/14
2014EW34,8/19/14
2014EW34,8/20/14
2014EW34,8/21/14
2014EW34,8/22/14
2014EW34,8/23/14
2014EW35,8/24/14
2014EW35,8/25/14
2014EW35,8/26/14
2014EW35,8/27/14
2014EW35,8/28/14
2014EW35,8/29/14
2014EW35,8/30/14
2014EW36,8/31/14
2014EW36,9/1/14
2014EW36,9/2/14
2014EW36,9/3/14
2014EW36,9/4/14
2014EW36,9/5/14
2014EW36,9/6/14
2014EW37,9/7/14
