"","Alpha_2","Name","Station","ICAO","IATA","SYNOP","LAT","LONG","ELEV"
"1","BZ","Belize","   BELIZE INTL      ","MZBZ  ","      ","78583 "," 17 31N "," 088 18W ","   5  "
"2","CR","Costa Rica","   CHACHARITA       ","MRCH  ","      ","      "," 09 59N "," 084 47W ","   2  "
"3","CR","Costa Rica","   LIBERIA/TOMAS G  ","MRLB  ","      ","78774 "," 10 36N "," 085 33W ","  82  "
"4","CR","Costa Rica","   LIMON INTL AIRP  ","MRLM  ","      ","78767 "," 09 58N "," 083 02W ","   2  "
"5","CR","Costa Rica","   NICOYA           ","MRNC  ","      ","78755 "," 10 09N "," 085 27W "," 120  "
"6","CR","Costa Rica","   JUAN SANTAMARIA  ","MROC  ","      ","78762 "," 10 00N "," 084 13W "," 920  "
"7","CR","Costa Rica","   PALMAR SUR       ","MRPM  ","      ","78772 "," 08 56N "," 083 28W ","  15  "
"8","CR","Costa Rica","   PUNTARENAS       ","MRPT  ","      ","78760 "," 09 58N "," 084 49W ","   3  "
"9","CR","Costa Rica","   TOBIAS BOLANO    ","MRPV  ","      ","      "," 09 57N "," 084 09W "," 994  "
"10","SV","El Salvador","   ACAJUTLA/SONSON  ","MSAC  ","      ","78650 "," 13 34N "," 089 50W ","  15  "
"11","SV","El Salvador","   EL SALVADOR INT  ","MSLP  ","      ","78666 "," 13 26N "," 089 03W ","  25  "
"12","SV","El Salvador","   LA UNION         ","MSLU  ","      ","78672 "," 13 20N "," 087 53W ","   5  "
"13","SV","El Salvador","   ILOPANGO/S.SALV  ","MSSS  ","      ","78663 "," 13 42N "," 089 07W "," 616  "
"14","SV","El Salvador","   SANTA ANA        ","MSSA  ","      ","78655 "," 13 58N "," 089 34W "," 725  "
"15","SV","El Salvador","   SAN MIGUEL       ","MSSM  ","      ","78670 "," 13 26N "," 088 07W ","  80  "
"16","GT","Guatemala","   COBAN            ","MGCB  ","      ","      "," 15 29N "," 090 25W ","1316  "
"17","GT","Guatemala","   CHAMPERICO       ","MGCP  ","      ","      "," 14 18N "," 091 54W ","  11  "
"18","GT","Guatemala","   ESQUIPULAS       ","MGES  ","      ","      "," 14 34N "," 089 19W "," 965  "
"19","GT","Guatemala","   FLORES/SANTA EL  ","MGFL  ","      ","78615 "," 16 55N "," 089 53W "," 115  "
"20","GT","Guatemala","   AURORA ARP       ","MGGI  ","      ","      "," 14 35N "," 090 31W ","1489  "
"21","GT","Guatemala","   GUATEMALA/LA AU  ","MGGT  ","      ","78641 "," 14 34N "," 090 32W ","1509  "
"22","GT","Guatemala","   HUEHUETENANGO    ","MGHT  ","      ","78627 "," 15 19N "," 091 30W ","1901  "
"23","GT","Guatemala","   MELCHOR DE MENCO ","MGMM  ","      ","      "," 17 04N "," 089 09W "," 105  "
"24","GT","Guatemala","   PUERTO BARRIOS(  ","MGPB  ","      ","78637 "," 15 43N "," 088 35W ","  10  "
"25","GT","Guatemala","   POPTUN           ","MGPP  ","      ","78625 "," 16 19N "," 089 25W "," 500  "
"26","GT","Guatemala","   QUEZALTENANGO    ","MGQZ  ","      ","      "," 14 52N "," 091 30W ","2371  "
"27","GT","Guatemala","   RETALHULEU (MIL/ ","MGRT  ","      ","      "," 14 32N "," 091 42W "," 200  "
"28","GT","Guatemala","   SAN JOSE (CIV/M  ","MGSJ  ","      ","78647 "," 13 55N "," 090 50W ","   9  "
"29","GT","Guatemala","   TIKAL INTL       ","MGTK  ","      ","      "," 16 55N "," 089 52W "," 128  "
"30","GT","Guatemala","   ZACAPA           ","MGZA  ","      ","      "," 14 58N "," 089 31W "," 490  "
"31","HN","Honduras","   AMAPALA/LOS PEL  ","MHAM  ","      ","78700 "," 13 16N "," 087 39W ","   5  "
"32","HN","Honduras","   CATACAMAS        ","MHCA  ","      ","78714 "," 14 54N "," 085 47W "," 442  "
"33","HN","Honduras","   ISLAS DEL CISNE  ","MHIC  ","      ","78501 "," 17 23N "," 083 55W ","  11  "
"34","HN","Honduras","   ISLA DE GUANAJA  ","MHNJ  ","      ","78701 "," 16 27N "," 085 54W ","  15  "
"35","HN","Honduras","   NUEVA OCOTEPEQUE ","MHNO  ","      ","78718 "," 14 26N "," 089 11W ","   2  "
"36","HN","Honduras","   LA CEIBA/GOLOSO  ","MHLC  ","      ","78705 "," 15 45N "," 086 51W ","  15  "
"37","HN","Honduras","   LA ESPERANZA     ","MHLE  ","      ","78719 "," 14 19N "," 088 09W ","1100  "
"38","HN","Honduras","   LA MESA/PEDRO S  ","MHLM  ","      ","78708 "," 15 27N "," 087 56W ","  26  "
"39","HN","Honduras","   PUERTO LEMPIRA   ","MHPL  ","      ","78711 "," 15 16N "," 083 47W ","  13  "
"40","HN","Honduras","   ROATAN           ","MHRO  ","      ","78703 "," 16 19N "," 086 32W ","   5  "
"41","HN","Honduras","   SOTO CANO AB     ","MHSC  ","      ","      "," 14 22N "," 087 37W "," 626  "
"42","HN","Honduras","   SANTA ROSA DE C  ","MHSR  ","      ","78717 "," 14 47N "," 088 47W ","1079  "
"43","HN","Honduras","   TEGUCIGALPA/TON  ","MHTG  ","      ","78720 "," 14 04N "," 087 13W ","1004  "
"44","HN","Honduras","   TELA             ","MHTE  ","      ","78706 "," 15 47N "," 087 29W ","   3  "
"45","HN","Honduras","   YORO             ","MHYR  ","      ","78707 "," 15 08N "," 087 07W "," 670  "
"46","HN","Honduras","   TRUJILLO         ","MHTR  ","      ","78704 "," 15 56N "," 085 56W ","   3  "
"47","HN","Honduras","   CHOLUTECA        ","MHCH  ","      ","78724 "," 13 19N "," 087 09W ","  48  "
"48","HN","Honduras","   TEGUCIGALPA      ","TRPA  ","      ","      "," 14 03N "," 087 13W ","1004  "
"49","MX","Mexico","   ACAPULCO/G. ALVA ","MMAA  ","ACA   ","      "," 16 45N "," 099 45W ","   5  "
"50","MX","Mexico","   ACAPULCO/G. ALVA ","      ","      ","76805 "," 16 50N "," 099 56W ","   3  "
"51","MX","Mexico","   AGUASCALIENTES   ","MMAS  ","AGU   ","76571 "," 21 42N "," 102 19W ","1863  "
"52","MX","Mexico","   BAHIAS DE HUATUL ","MMBT  ","HUX   ","      "," 15 46N "," 096 16W "," 143  "
